"age","failed_runs","CO2_ppm","CO2_0.025","CO2_0.975","O2_ppm","O2_0.025","O2_0.975"
570,87.07,6722.75840402006,1630.04138450898,35235.6014837572,15.5321290523365,10.3160164693469,20.9496719338886
560,87.12,6983.03585213359,1668.36044150428,35722.3462729179,15.5873584936893,7.32701169774541,24.6014961236197
550,86,6757.64304907382,1617.78923782876,36826.5018763274,18.0382181031535,11.0024715305267,24.5734504595293
540,84.85,6621.38486461948,1598.10580224037,35166.775790199,19.4241958088024,12.7690935686295,25.689282327777
530,84.89,5873.64989971297,1444.74417975041,32222.5357890615,21.8399950640781,13.7793093393649,27.3655929545223
520,84.4,6569.20579500363,1619.41225726161,36466.0052266689,22.6446949414463,17.6239058101366,27.2292446315706
510,83.63,6318.25931813398,1530.15164235973,37230.6953050557,21.9312490244708,16.2918912808206,26.3904601721119
500,84.54,4875.70720195369,1271.36348275728,28970.2572652192,19.5244811884549,12.4506550106248,24.6582443452887
490,85.83,3753.94475807717,1061.69713320279,22630.9867943495,19.7134705779352,13.5939136028758,24.1603271398877
480,83.04,3581.62815284099,1088.54510346809,20216.9460752297,17.7880995270283,12.4198129926476,22.5955404051335
470,82.69,2961.97103227493,991.854427906272,15290.9346045559,15.612614179825,9.69698116375739,20.2448136263791
460,82.79,2421.35894253843,811.289147348377,12345.0898158725,18.9275923703766,13.8201175242828,23.2256500724058
450,81.94,2054.54649400477,744.897988789794,10155.5920577538,18.4877075460296,13.1714135511135,22.4510024607053
440,81.97,2128.24392025743,747.990161353433,10186.5317334306,22.0376637710428,16.9663613557162,27.4357183694038
430,81.9,1743.04052465745,694.740421540336,8529.56740354837,23.7339159913341,18.8988465399379,29.2708620895933
420,82.04,2144.05824896945,779.23404060412,10769.8633078306,24.9941808388054,20.0077885826855,30.9245756950072
410,83.16,2391.27846804869,810.461286979085,13910.7690361585,26.6727107434197,21.2418918534311,33.5880265959481
400,82.39,3417.19120987282,1007.56060860066,19475.7739637622,19.2539739054328,11.5653652085669,26.8449767287012
390,81.99,2005.21532486956,652.614668201611,11604.2689122152,21.8926919424435,15.4778619153456,29.4603535443521
380,81.86,1929.46271724332,688.238565362322,9577.70676808297,18.7808869727258,12.4051536408744,25.2290871111638
370,81.59,1509.51077036922,570.138723995392,7328.72043719911,16.7588874361474,10.2103945484294,22.5239255327532
360,81.62,1004.65990119346,371.435467758981,5872.42234404653,19.0163406379272,11.5040766064349,26.8997753014677
350,82.28,703.244625931656,208.381965006614,11983.3326812857,25.0788265871581,17.0575801461534,35.0220539069482
340,82.02,737.532384918171,228.296274778276,9174.29730982519,25.3451719194751,16.1851943196405,34.7631419749877
330,81.92,489.155270903458,253.191698625463,2766.2113609988,22.845697171694,13.177285795669,32.4341812709302
320,82.51,436.578264961423,239.850212909621,2065.62721530504,24.7410566352983,15.6881420820198,34.0178100360033
310,84.03,389.378720182888,214.090181358456,1731.34226539283,28.0611618014686,18.678413959196,37.3553514044864
300,84.08,381.014030385209,200.20308314017,1704.45840188185,31.0744786513607,21.2935601717947,41.409023806326
290,83.83,459.662113284887,241.282698997917,2512.36309776846,32.7578106832454,22.99237259876,43.9109395058946
280,82.15,456.977441084745,238.512706028188,2073.64649636372,32.5259321472944,22.4577957933693,43.2292711772301
270,81.63,468.423807031728,247.661422389798,2995.6118923928,33.1344527524343,23.8808576222753,43.0355359468493
260,81.64,689.797422499848,325.537595109074,6774.6580460369,31.537597775395,23.4539931624558,40.9204444481623
250,83.54,2459.60167274987,571.936700553958,33536.3747232571,21.7012381687178,11.5073424896008,32.3918720896013
240,82.89,2060.92529515788,530.789794536007,34518.2800373542,19.7142270987079,12.7125017524247,27.1950005706841
230,81.99,1035.30948984407,356.231339840291,16606.9224444343,22.2722602083823,18.0944228305493,27.8742673750005
220,82.56,1510.23855304737,406.084424077601,27029.2114930141,26.3048929538815,22.3648210502913,32.1945771955856
210,82.05,1189.3312981451,362.83755223717,25025.1130606253,23.7306347412367,19.3387333083118,29.5534649046232
200,82.07,1095.52075863144,339.732487662342,16312.4586654183,19.2342599013339,12.8304676413151,24.4083865250958
190,83.95,790.346670145799,281.014910221635,11685.1589056628,11.4826871766126,5.59092163169648,17.7498690987213
180,85.02,640.576101388984,244.544527468795,9075.08333098349,14.3230338195799,7.50867128533632,22.4959942416525
170,82.33,692.806324906002,228.384470172071,9966.50594009513,15.7808114475589,9.25252173306859,35.4091102667872
160,82.07,835.569188262505,265.627617035948,12367.2472931119,16.7566006469975,11.3591519560707,33.3454018683355
150,82.1,932.032492711845,308.873167714306,11794.7820257956,17.0944005046839,11.5553000484886,29.9068080840063
140,82.22,1460.81707183415,441.225004645663,25893.800636789,13.9581971299861,7.46609832292246,23.8152018255283
130,82.75,1983.47643149726,516.63471145674,29803.3454126211,21.4662585861078,16.1911767969331,30.6455081981956
120,82.04,1117.66989982703,369.691852077957,16653.4562021096,24.3253276721437,18.5264620368191,33.2260840842242
110,81.74,776.699067046544,305.165611662744,10855.5436115597,25.3438742056864,19.5831418597828,33.0159637043532
100,81.83,347.971432034617,177.604000388962,1523.31272988466,25.0910406540684,20.0132811029222,31.2592493995136
90,82.07,311.89145057703,169.238576520733,1157.2590079036,24.530986159109,20.3279486053119,29.771829154406
80,81.98,285.90671236084,166.718804850633,969.520429964946,23.7515366454077,19.950363511976,28.5248315228656
70,82.12,282.975358480645,165.687524655027,799.912114448111,23.6976045187148,20.3644986558491,27.7377101237815
60,81.68,333.149451105721,182.632061070839,1050.10339203237,22.622613621251,17.8157307015538,27.8282851011053
50,82.79,256.417559168526,159.13852928855,627.779526439138,22.1843367296764,17.9139653759002,26.8911380420831
40,82.05,243.58983519264,166.362051011002,409.151562920455,24.6256697633881,21.0797782565102,28.4554815408597
30,81.53,275.06966942613,186.201305541131,582.398381247804,24.976663415544,21.8503407560955,28.1498709248735
20,81.6,284.437017493388,187.311794699938,595.688916838623,23.9569993215565,20.1379850646664,27.3617474511919
10,81.6,279.245531554249,194.499663097114,534.486687226963,22.4055270625618,18.617220056918,25.4897161054886
0,81.45,248.077554306987,203.903790642316,295.33325475895,20.9810762212814,19.1091325825587,22.8683022397266
